		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    3    1    1    2    3    2    1  8.502303 0.386001 SUCCESS   0
000000011    0    2    0    0    1    3    0    1  8.391973 0.396147 SUCCESS   1
000000101    0    1    4    1    2    1    1    0 10.212418 0.250432 SUCCESS   2
000000111    0    1    1    0    0    2    1    0  5.413064 0.712652 SUCCESS   3
000001001    0    0    4    1    0    2    3    1 14.349791 0.073092 SUCCESS   4
000001011    0    2    2    0    0    0    4    0 14.294626 0.074402 SUCCESS   5
000001101    1    1    1    0    2    3    0    2  6.681859 0.571314 SUCCESS   6
000001111    0    0    0    2    0    2    2    1  6.626694 0.577392 SUCCESS   7
000010001    2    1    2    3    2    1    2    0  6.737024 0.565253 SUCCESS   8
000010011    1    0    1    0    1    1    2    2  3.702949 0.882881 SUCCESS   9
000010101    0    1    3    2    1    1    1    4 12.032862 0.149744 SUCCESS  10
000010111    1    0    3    0    2    0    2    0  8.998788 0.342398 SUCCESS  11
000011001    0    3    0    0    1    1    1    1  6.626694 0.577392 SUCCESS  12
000011011    2    1    1    3    2    4    2    1 12.088027 0.147319 SUCCESS  13
000011101    0    1    0    0    3    0    0    1  8.943623 0.347074 SUCCESS  14
000011111    0    1    1    1    1    2    0    0  4.254599 0.833453 SUCCESS  15
000100011    3    2    1    2    2    2    2    0  7.343838 0.500030 SUCCESS  16
000100101    1    0    2    1    1    1    0    1  3.096135 0.928180 SUCCESS  17
000100111    1    1    0    1    1    2    3    3  7.895488 0.443745 SUCCESS  18
000101001    2    1    0    1    3    1    1    4 12.032862 0.149744 SUCCESS  19
000101011    1    0    1    2    1    0    3    3  9.053953 0.337765 SUCCESS  20
000101101    1    3    2    0    0    1    0    0  8.391973 0.396147 SUCCESS  21
000101111    0    0    4    1    2    2    4    1 17.935515 0.021715 SUCCESS  22
000110011    1    2    0    0    3    1    2    0  7.840323 0.449221 SUCCESS  23
000110101    1    1    0    1    3    2    1    1  4.916579 0.766454 SUCCESS  24
000110111    4    2    1    5    1    1    2    1 21.521239 0.005884 FAILURE  25
000111001    0    1    1    0    1    1    0    0  4.806249 0.778070 SUCCESS  26
000111011    1    1    0    1    2    0    1    1  3.096135 0.928180 SUCCESS  27
000111101    2    3    0    2    0    1    2    3 10.267582 0.246745 SUCCESS  28
000111111    0    0    1    1    1    3    0    0  7.785158 0.454733 SUCCESS  29
001000011    1    2    3    1    1    3    0    1  7.895488 0.443745 SUCCESS  30
001000101    3    1    0    1    1    2    4    2 12.639677 0.124863 SUCCESS  31
001000111    3    3    1    0    2    1    1    0  9.053953 0.337765 SUCCESS  32
001001011    0    0    3    1    1    0    1    0  7.785158 0.454733 SUCCESS  33
001001101    2    1    2    3    3    1    2    1  7.950653 0.438305 SUCCESS  34
001001111    1    1    0    1    1    2    2    0  3.702949 0.882881 SUCCESS  35
001010011    0    0    0    1    4    2    0    5 25.548283 0.001254 FAILURE  36
001010101    1    1    1    2    0    0    1    3  6.075044 0.638826 SUCCESS  37
001010111    2    1    0    0    0    0    0    3  9.550438 0.298006 SUCCESS  38
001011011    2    4    1    0    1    1    2    1  9.660768 0.289647 SUCCESS  39
001011101    4    1    3    2    0    1    0    0 14.349791 0.073092 SUCCESS  40
001011111    1    1    2    0    2    3    3    1  8.502303 0.386001 SUCCESS  41
001100101    1    1    0    2    1    2    2    1  3.151300 0.924507 SUCCESS  42
001100111    0    2    0    0    1    0    2    0  7.178343 0.517519 SUCCESS  43
001101011    1    0    0    1    2    2    1    1  3.702949 0.882881 SUCCESS  44
001101101    3    1    0    0    2    1    1    1  6.075044 0.638826 SUCCESS  45
001101111    2    3    1    2    1    0    1    0  6.681859 0.571314 SUCCESS  46
001110101    2    2    0    1    2    0    1    1  4.309764 0.828150 SUCCESS  47
001110111    1    1    1    0    1    0    1    3  5.468229 0.706557 SUCCESS  48
001111011    4    3    0    0    0    0    0    0 17.218370 0.027914 SUCCESS  49
001111101    0    1    2    2    0    0    6    0 26.706747 0.000794 FAILURE  50
001111111    1    1    0    1    1    1    0    2  3.096135 0.928180 SUCCESS  51
010000011    0    1    1    0    1    1    2    1  3.096135 0.928180 SUCCESS  52
010000111    0    2    3    2    1    1    0    0  7.840323 0.449221 SUCCESS  53
010001011    2    2    3    1    1    2    3    1  7.950653 0.438305 SUCCESS  54
010001111    3    1    0    1    1    1    0    1  5.468229 0.706557 SUCCESS  55
010010011    1    0    3    3    4    0    1    1 15.563421 0.049073 SUCCESS  56
010010111    1    2    2    1    0    0    0    0  6.019879 0.645005 SUCCESS  57
010011011    1    2    0    3    2    1    1    1  5.523394 0.700447 SUCCESS  58
010011111    0    1    1    0    1    1    3    1  5.468229 0.706557 SUCCESS  59
010100011    4    0    0    1    2    0    0    1 12.529347 0.129102 SUCCESS  60
010100111    0    0    1    1    4    1    1    4 16.721886 0.033139 SUCCESS  61
010101011    1    0    0    2    0    0    0    3  9.550438 0.298006 SUCCESS  62
010101111    1    0    0    1    0    1    0    3  7.785158 0.454733 SUCCESS  63
010110011    1    1    1    4    3    0    5    1 24.444983 0.001929 FAILURE  64
010110111    1    3    0    0    1    0    3    1  9.605603 0.293805 SUCCESS  65
010111011    3    1    1    2    0    1    1    2  5.523394 0.700447 SUCCESS  66
010111111    0    0    0    2    2    2    2    3  9.053953 0.337765 SUCCESS  67
011000111    0    2    0    2    0    1    1    2  5.468229 0.706557 SUCCESS  68
011001111    2    3    0    2    2    0    4    0 15.563421 0.049073 SUCCESS  69
011010111    3    1    0    0    0    1    0    0  8.943623 0.347074 SUCCESS  70
011011111    3    2    2    0    1    0    1    1  6.681859 0.571314 SUCCESS  71
011101111    2    3    1    2    0    0    1    4 13.798141 0.087181 SUCCESS  72
011111111    1    3    0    1    3    1    0    2  9.053953 0.337765 SUCCESS  73
100000000    0    3    1    1    2    3    2    1  8.502303 0.386001 SUCCESS  74
100010000    0    1    2    0    2    1    1    1  3.702949 0.882881 SUCCESS  75
100100000    0    3    2    1    1    1    3    0  9.053953 0.337765 SUCCESS  76
100101000    2    1    1    1    1    2    1    1  1.386020 0.994443 SUCCESS  77
100110000    1    0    3    3    3    2    1    0 12.032862 0.149744 SUCCESS  78
